reporting_group,reporting_scope,component_id,stratum,attack_related,metric_role,median,q1,q3,iqr,mad,p95,n,artifact_count,not_an_overhead_estimate
H8,PRIMARY_STRATUM,H8,H8,ALL,paired_h0_latency_ns,6797650.0,5565425.0,10677200.0,5111775.0,1590700.0,13230409.999999994,4200,42,False
H8,PRIMARY_STRATUM,H8,H8,ALL,composed_path_latency_ns,8360200.0,6865050.0,12728375.0,5863325.0,1917900.0,15577784.999999996,4200,42,False
H8,PRIMARY_STRATUM,H8,H8,ALL,paired_component_minus_load_difference_ns,-5343650.0,-8632050.0,-4292850.0,4339200.0,1455500.0,-3904850.0000000005,4200,42,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A22,False,composed_path_latency_ns,240800.0,226100.0,272525.0,46425.0,18600.0,417300.0,12000,120,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A22,False,paired_component_minus_load_difference_ns,-100000.0,-113900.0,-87100.0,26800.0,13300.0,-40900.0,12000,120,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A22,False,paired_h0_latency_ns,173400.0,164000.0,187300.0,23300.0,10600.0,253200.0,12000,120,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A22,False,raw_component_latency_ns,69400.0,59200.0,85600.0,26400.0,11900.0,180700.0,12000,120,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A22,True,composed_path_latency_ns,213850.0,202500.0,253000.0,50500.0,15000.0,380404.99999999994,4000,40,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A22,True,paired_component_minus_load_difference_ns,-97400.0,-108700.0,-88100.0,20600.0,10500.0,-69600.0,4000,40,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A22,True,paired_h0_latency_ns,156500.0,150700.0,180325.0,29625.0,8200.0,236534.9999999998,4000,40,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A22,True,raw_component_latency_ns,59100.0,50575.0,73400.0,22825.0,10600.0,150509.99999999994,4000,40,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A26,False,composed_path_latency_ns,16725100.0,14842450.0,29985275.0,15142825.0,2785550.0,33100689.999999996,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A26,False,paired_component_minus_load_difference_ns,5391050.0,4307200.0,10014400.0,5707200.0,1912550.0,12159539.999999998,4200,42,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A26,False,paired_h0_latency_ns,5984950.0,5172300.0,9772650.0,4600350.0,1261600.0,11633724.999999993,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H1,H1_A26,False,raw_component_latency_ns,10747300.0,9549050.0,19997875.0,10448825.0,1814450.0,22304625.0,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_accept,False,composed_path_latency_ns,174800.0,165000.0,195025.0,30025.0,12400.0,291409.9999999998,8000,80,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_accept,False,paired_component_minus_load_difference_ns,-154300.0,-173700.0,-144600.0,29100.0,12000.0,-133500.0,8000,80,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_accept,False,paired_h0_latency_ns,164200.0,155100.0,185200.0,30100.0,12400.0,274600.0,8000,80,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_accept,False,raw_component_latency_ns,11900.0,7300.0,13600.0,6300.0,3900.0,19800.0,8000,80,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_accept,True,composed_path_latency_ns,181050.0,160200.0,211900.0,51700.0,23200.0,316410.0,2000,20,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_accept,True,paired_component_minus_load_difference_ns,-161100.0,-191525.0,-141600.0,49925.0,22200.0,-132400.0,2000,20,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_accept,True,paired_h0_latency_ns,170600.0,150400.0,200625.0,50225.0,22650.0,290699.9999999998,2000,20,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_accept,True,raw_component_latency_ns,12100.0,7100.0,13300.0,6200.0,4300.0,19904.999999999996,2000,20,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_reject,False,composed_path_latency_ns,179900.0,166600.0,206200.0,39600.0,16300.0,300414.9999999999,4000,40,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_reject,False,paired_component_minus_load_difference_ns,-159200.0,-186225.0,-150200.0,36025.0,12100.0,-135400.0,4000,40,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_reject,False,paired_h0_latency_ns,168900.0,158700.0,198325.0,39625.0,13200.0,281105.0,4000,40,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_reject,False,raw_component_latency_ns,8600.0,6500.0,15300.0,8800.0,4800.0,20500.0,4000,40,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_reject,True,composed_path_latency_ns,145300.0,142000.0,152700.0,10700.0,4000.0,264039.99999999994,2000,20,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_reject,True,paired_component_minus_load_difference_ns,-136800.0,-143700.0,-133500.0,10200.0,4100.0,-129800.0,2000,20,True
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_reject,True,paired_h0_latency_ns,140700.0,137900.0,147500.0,9600.0,3700.0,254600.0,2000,20,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H2,expected_reject,True,raw_component_latency_ns,5500.0,2600.0,6000.0,3400.0,2400.0,10600.0,2000,20,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H3,accepted,False,composed_path_latency_ns,6511650.0,5769000.0,10714500.0,4945500.0,1100000.0,12581914.999999996,4200,42,False
ORTHOGONAL_ATTACK_DESCRIPTOR,SECONDARY_DESCRIPTOR,H3,accepted,False,paired_component_minus_load_difference_ns,-5501050.0,-9193750.0,-4822475.0,4371275.0,971250.0,-4544860.000000001,4200,42,True
