component_id,reporting_group,artifact_id,descriptor,descriptor_value,artifact_median_component_latency_ns,observed_range_only
H1,H1_A26,4fafb9a13ff5e2fda82a804bf609727b68a17926d69ae1574c4801604ec81359,canonical_bytes,371549,9718300.0,True
H1,H1_A26,4fafb9a13ff5e2fda82a804bf609727b68a17926d69ae1574c4801604ec81359,bundle_bytes,371549,9718300.0,True
H1,H1_A26,4fafb9a13ff5e2fda82a804bf609727b68a17926d69ae1574c4801604ec81359,N_operations,90,9718300.0,True
H1,H1_A26,4fafb9a13ff5e2fda82a804bf609727b68a17926d69ae1574c4801604ec81359,N_modes,172,9718300.0,True
H1,H1_A26,4fafb9a13ff5e2fda82a804bf609727b68a17926d69ae1574c4801604ec81359,schedule_operation_count,90,9718300.0,True
H1,H1_A26,54349d927b9070c144f507868f9ef8b962c7c926426b33c3a7e0c88f715b246a,canonical_bytes,371510,9487100.0,True
H1,H1_A26,54349d927b9070c144f507868f9ef8b962c7c926426b33c3a7e0c88f715b246a,bundle_bytes,371510,9487100.0,True
H1,H1_A26,54349d927b9070c144f507868f9ef8b962c7c926426b33c3a7e0c88f715b246a,N_operations,90,9487100.0,True
H1,H1_A26,54349d927b9070c144f507868f9ef8b962c7c926426b33c3a7e0c88f715b246a,N_modes,172,9487100.0,True
H1,H1_A26,54349d927b9070c144f507868f9ef8b962c7c926426b33c3a7e0c88f715b246a,schedule_operation_count,90,9487100.0,True
H1,H1_A26,558b8365de15727bf495595ed539867872c185b280ea249712f3b1d5f8674cd5,canonical_bytes,371529,9642150.0,True
H1,H1_A26,558b8365de15727bf495595ed539867872c185b280ea249712f3b1d5f8674cd5,bundle_bytes,371529,9642150.0,True
H1,H1_A26,558b8365de15727bf495595ed539867872c185b280ea249712f3b1d5f8674cd5,N_operations,90,9642150.0,True
H1,H1_A26,558b8365de15727bf495595ed539867872c185b280ea249712f3b1d5f8674cd5,N_modes,172,9642150.0,True
H1,H1_A26,558b8365de15727bf495595ed539867872c185b280ea249712f3b1d5f8674cd5,schedule_operation_count,90,9642150.0,True
H1,H1_A26,5ecccd77f46ab5549088b57686632a9eb5ccf1a5a977fbe35cfae6a50eca52bb,canonical_bytes,366528,9523650.0,True
H1,H1_A26,5ecccd77f46ab5549088b57686632a9eb5ccf1a5a977fbe35cfae6a50eca52bb,bundle_bytes,366528,9523650.0,True
H1,H1_A26,5ecccd77f46ab5549088b57686632a9eb5ccf1a5a977fbe35cfae6a50eca52bb,N_operations,90,9523650.0,True
H1,H1_A26,5ecccd77f46ab5549088b57686632a9eb5ccf1a5a977fbe35cfae6a50eca52bb,N_modes,172,9523650.0,True
H1,H1_A26,5ecccd77f46ab5549088b57686632a9eb5ccf1a5a977fbe35cfae6a50eca52bb,schedule_operation_count,90,9523650.0,True
H1,H1_A26,5f24b2bbe16d5c8f667064d5031553e1dd9c4d9dbb7e0757cb922d9ba47928d5,canonical_bytes,371715,9547600.0,True
H1,H1_A26,5f24b2bbe16d5c8f667064d5031553e1dd9c4d9dbb7e0757cb922d9ba47928d5,bundle_bytes,371715,9547600.0,True
H1,H1_A26,5f24b2bbe16d5c8f667064d5031553e1dd9c4d9dbb7e0757cb922d9ba47928d5,N_operations,90,9547600.0,True
H1,H1_A26,5f24b2bbe16d5c8f667064d5031553e1dd9c4d9dbb7e0757cb922d9ba47928d5,N_modes,172,9547600.0,True
H1,H1_A26,5f24b2bbe16d5c8f667064d5031553e1dd9c4d9dbb7e0757cb922d9ba47928d5,schedule_operation_count,90,9547600.0,True
H1,H1_A26,61f77c0251bcd2bbb51e6bff7e048bfcda7139b4e796314d32b47961ac3b5c1b,canonical_bytes,373222,9609450.0,True
H1,H1_A26,61f77c0251bcd2bbb51e6bff7e048bfcda7139b4e796314d32b47961ac3b5c1b,bundle_bytes,373222,9609450.0,True
H1,H1_A26,61f77c0251bcd2bbb51e6bff7e048bfcda7139b4e796314d32b47961ac3b5c1b,N_operations,90,9609450.0,True
H1,H1_A26,61f77c0251bcd2bbb51e6bff7e048bfcda7139b4e796314d32b47961ac3b5c1b,N_modes,172,9609450.0,True
H1,H1_A26,61f77c0251bcd2bbb51e6bff7e048bfcda7139b4e796314d32b47961ac3b5c1b,schedule_operation_count,90,9609450.0,True
H1,H1_A26,634f3d08fd93ba622176ea6c9ff7ff1fb9d57a9b14f936f27d1460655fc20d72,canonical_bytes,369189,9448900.0,True
H1,H1_A26,634f3d08fd93ba622176ea6c9ff7ff1fb9d57a9b14f936f27d1460655fc20d72,bundle_bytes,369189,9448900.0,True
H1,H1_A26,634f3d08fd93ba622176ea6c9ff7ff1fb9d57a9b14f936f27d1460655fc20d72,N_operations,90,9448900.0,True
H1,H1_A26,634f3d08fd93ba622176ea6c9ff7ff1fb9d57a9b14f936f27d1460655fc20d72,N_modes,172,9448900.0,True
H1,H1_A26,634f3d08fd93ba622176ea6c9ff7ff1fb9d57a9b14f936f27d1460655fc20d72,schedule_operation_count,90,9448900.0,True
H1,H1_A26,73cdcc11d1c23e47664696979a9b12b94deb5da000c18f37a8d7c0b641090788,canonical_bytes,755370,19990250.0,True
H1,H1_A26,73cdcc11d1c23e47664696979a9b12b94deb5da000c18f37a8d7c0b641090788,bundle_bytes,755370,19990250.0,True
H1,H1_A26,73cdcc11d1c23e47664696979a9b12b94deb5da000c18f37a8d7c0b641090788,N_operations,150,19990250.0,True
H1,H1_A26,73cdcc11d1c23e47664696979a9b12b94deb5da000c18f37a8d7c0b641090788,N_modes,451,19990250.0,True
H1,H1_A26,73cdcc11d1c23e47664696979a9b12b94deb5da000c18f37a8d7c0b641090788,schedule_operation_count,150,19990250.0,True
H1,H1_A26,7dc2cc636acd7eeb3db7367222360894cac918d6adca467d2f7a79960bbe8b1c,canonical_bytes,372138,9680350.0,True
H1,H1_A26,7dc2cc636acd7eeb3db7367222360894cac918d6adca467d2f7a79960bbe8b1c,bundle_bytes,372138,9680350.0,True
H1,H1_A26,7dc2cc636acd7eeb3db7367222360894cac918d6adca467d2f7a79960bbe8b1c,N_operations,90,9680350.0,True
H1,H1_A26,7dc2cc636acd7eeb3db7367222360894cac918d6adca467d2f7a79960bbe8b1c,N_modes,172,9680350.0,True
H1,H1_A26,7dc2cc636acd7eeb3db7367222360894cac918d6adca467d2f7a79960bbe8b1c,schedule_operation_count,90,9680350.0,True
H1,H1_A26,8c60197386a54af6d06cac0996c81cbca4971ac83984afcf2a52fa27a5bb1b42,canonical_bytes,372245,9632000.0,True
H1,H1_A26,8c60197386a54af6d06cac0996c81cbca4971ac83984afcf2a52fa27a5bb1b42,bundle_bytes,372245,9632000.0,True
H1,H1_A26,8c60197386a54af6d06cac0996c81cbca4971ac83984afcf2a52fa27a5bb1b42,N_operations,90,9632000.0,True
H1,H1_A26,8c60197386a54af6d06cac0996c81cbca4971ac83984afcf2a52fa27a5bb1b42,N_modes,172,9632000.0,True
H1,H1_A26,8c60197386a54af6d06cac0996c81cbca4971ac83984afcf2a52fa27a5bb1b42,schedule_operation_count,90,9632000.0,True
H1,H1_A26,8e3a1df6f55a6d53d21fd63c9dcda45cee6d1576c4989d45b40828d31e6d7281,canonical_bytes,371639,9652600.0,True
H1,H1_A26,8e3a1df6f55a6d53d21fd63c9dcda45cee6d1576c4989d45b40828d31e6d7281,bundle_bytes,371639,9652600.0,True
H1,H1_A26,8e3a1df6f55a6d53d21fd63c9dcda45cee6d1576c4989d45b40828d31e6d7281,N_operations,90,9652600.0,True
H1,H1_A26,8e3a1df6f55a6d53d21fd63c9dcda45cee6d1576c4989d45b40828d31e6d7281,N_modes,172,9652600.0,True
H1,H1_A26,8e3a1df6f55a6d53d21fd63c9dcda45cee6d1576c4989d45b40828d31e6d7281,schedule_operation_count,90,9652600.0,True
H1,H1_A26,97eb8ea8dfec0a163a4b54e1179247553055627de3df3d7a40c8879cacc64800,canonical_bytes,754947,20114750.0,True
H1,H1_A26,97eb8ea8dfec0a163a4b54e1179247553055627de3df3d7a40c8879cacc64800,bundle_bytes,754947,20114750.0,True
H1,H1_A26,97eb8ea8dfec0a163a4b54e1179247553055627de3df3d7a40c8879cacc64800,N_operations,150,20114750.0,True
H1,H1_A26,97eb8ea8dfec0a163a4b54e1179247553055627de3df3d7a40c8879cacc64800,N_modes,451,20114750.0,True
H1,H1_A26,97eb8ea8dfec0a163a4b54e1179247553055627de3df3d7a40c8879cacc64800,schedule_operation_count,150,20114750.0,True
H1,H1_A26,9827288498c6ff63f3f7ec6f3bb833b53ac1c3cbaf59021addc82b6a8c08bae2,canonical_bytes,754955,19900950.0,True
